,Unnamed: 1,browserninja2-dt-external-k20,browserninja2-svm-external-k20,browserbite-dt-external-k3
1,,0.8590345727332028,0.8566862361382909,1.0
2,,1.0,0.9310344827586208,0.9999668435013264
3,,0.9987711213517664,0.9242703533026114,0.958115719406042
4,,0.9839553048383598,0.8266760685615101,0.8700260360164895
5,,0.8281959943295409,0.7464832248918615,0.8078405001635709
6,,0.9988150655945832,0.8823529411764706,0.9670334320778671
7,,0.9599527511050144,0.7479423868312757,0.8275034293552812
8,,0.968598430813124,0.8485734664764623,0.9531383737517831
9,,0.7580386530508904,0.7324246771879483,0.7536922947084143
10,,0.9169714982472184,0.7750342935528121,0.7389498552049992
